Species	Global_Prevalence	SamplePresence_count	Abundance_Upper RT	Abundance_Intermediate RT	Abundance_Lower RT	Abundance_Nasal swab	Abundance_Buccal mucosa	Abundance_Oral swab	Abundance_Saliva	Abundance_Tongue dorsum	Abundance_Supraglottal	Abundance_Sputum	Abundance_BAL
s__Pseudomonas_aeruginosa	7.397	208	508.426264196701	4952.89090915619	2371.54770832702	0	506.948525924535	0	1.47773827216623	0	20.255183761609	4932.63572539458	2371.54770832702
s__Staphylococcus_epidermidis	12.198	343	467.932450038942	613.924811762567	2287.02050626911	89.1402522881087	211.071305234644	157.16710510872	10.5537874074695	8.16130218835603	603.487362612366	2.22814687522188	2287.02050626911
s__Prevotella_melaninogenica	73.791	2075	4127.15068491676	3954.19186273947	2051.55485861987	2.95205143133421	1957.03775510996	990.672680137712	1176.48819823776	2934.30374514481	172.722393643246	627.678554081102	2051.55485861987
s__Staphylococcus_aureus	9.246	260	1149.34692430484	1426.23147354041	1726.8376653612	346.71026787169	165.248749450999	533.205099453536	7.83881763903098	4.94084236025009	162.18503783365	1243.49180062655	1726.8376653612
s__GGB43920_SGB61282	1.956	55	0	0	1602.17927761032	0	0	0	0	0	0	0	1602.17927761032
s__Mycoplasma_salivarium	15.967	449	161.957882391002	126.141515577529	1325.6021686363	0	143.342354085408	6.77454592243309	11.8409823831614	2.09410999088666	101.063597390873	8.40849607828626	1325.6021686363
s__Streptococcus_mitis	78.201	2199	17672.6337937751	2277.10209640275	1237.35665228689	1.22641875159621	14412.085441675	1829.42542229071	1429.89651105784	473.993333324864	226.38681295909	1405.46827004239	1237.35665228689
s__Salmonella_enterica	1.031	29	0	0	1153.46380861788	0	0	0	0	0	0	0	1153.46380861788
s__Neisseria_subflava	66.856	1880	5996.67658321721	5829.56045596931	831.100573042612	0.789842808107231	3011.52814898454	1185.28700277989	1799.07158864467	4883.56270802552	17.3558437554047	550.615469553141	831.100573042612
s__Microbacterium_sp_4NA327F11	0.853	24	0	0	792.820766572102	0	0	0	0	0	0	0	792.820766572102
s__Paraburkholderia_tropica	0.676	19	11.1907717740797	0	789.609465101698	0	11.1907717740797	0	0	0	0	0	789.609465101698
s__Cutibacterium_acnes	23.293	655	243.034537286774	39.2378079087932	754.013963455552	1.87638847521204	237.361413982253	0.00470652812654843	3.79202830118252	22.9221681365727	8.68148438454798	5.9873825433967	754.013963455552
s__Uruburuella_suis	0.569	16	18.9478392488178	0	721.595978440229	0	18.9478392488178	0	0	0	0	0	721.595978440229
s__Enterococcus_faecalis	1.991	56	112.748089722576	399.311371789464	714.217304033039	0	102.337543894538	9.88485852570747	0.525687302329937	1.00960060122095	259.148781842207	139.152989346036	714.217304033039
s__Veillonella_parvula	69.203	1946	3269.64987860824	583.51772794603	702.713797244704	19.137783268446	2435.74064590425	432.904954399729	381.866495035815	66.541789781741	194.461355192086	312.670214037259	702.713797244704
s__Rothia_mucilaginosa	77.952	2192	8037.62605549486	4554.61000321493	689.601523568252	9.52285264599351	5241.67374026922	1403.77024623176	1382.65921634789	2957.95866467603	174.631107338439	1250.91348966731	689.601523568252
s__Escherichia_coli	4.908	138	72.1390696485255	122.688492511349	681.081865624688	10.2171217711499	30.6227129891943	30.8673223315442	0.431912556637117	51.6711164036137	1.43957271837619	0.879919758172146	681.081865624688
s__Enterococcus_faecium	1.422	40	111.315007773158	136.87100767323	647.301545316553	0	56.5560053816095	0	54.759002391548	0	136.87100767323	0	647.301545316553
s__Streptococcus_pneumoniae	27.489	773	377.764185777795	52.2509582520029	641.215476207648	57.3663911490097	126.899608542284	21.9825671616735	19.6390795244709	0.0393464377312081	0.761760497456306	47.5932940493503	641.215476207648
s__Ralstonia_pickettii	1.387	39	0.992197484827223	145.381269284496	618.98130813966	0	0	0.992197484827223	0	18.911534324843	0	120.595437423911	618.98130813966
s__Tropheryma_whipplei	0.605	17	181.789632692733	72.4272252921047	585.622188875503	0	37.7087859278302	0	144.080846764903	0	0	72.4272252921047	585.622188875503
s__Klebsiella_pneumoniae	5.156	145	506.885007652047	12.360632054724	544.185285930024	0.877596672457074	309.811864667665	195.80589409325	0.389652218675476	0	10.366629823735	0	544.185285930024
s__Neisseria_meningitidis	3.805	107	55.4374181529852	51.0975582456594	540.234310597344	0	37.4177461892752	11.5741265334016	6.44554543030838	0.015949314134629	0	0	540.234310597344
s__Corynebacterium_striatum	0.676	19	25.4076868889254	236.852655589508	531.522845199125	0	25.4076868889254	0	0	0	236.852655589508	0	531.522845199125
s__Corynebacterium_simulans	0.782	22	4.9200105172984	264.747012238301	524.743664775069	0	0	4.9200105172984	0	0	259.271812211237	5.47520002706365	524.743664775069
s__Candida_albicans	8.001	225	178.392140046836	24.5802104364603	513.482760630027	0	166.860246349484	4.83767567236254	6.69421802498991	0	24.1163033678856	0.463907068574667	513.482760630027
s__Corynebacterium_jeikeium	0.782	22	5.20224519124688	19.1222860193705	512.155710495239	0	4.57921407193873	0	0.623031119308156	0	19.1222860193705	0	512.155710495239
s__Haemophilus_influenzae	10.313	290	427.157635406455	196.803369821374	498.293100027144	81.1343343198642	63.821108438466	73.4421022048247	6.33197378985029	0.053393883873162	0	166.584539645995	498.293100027144
s__Serratia_marcescens	1.138	32	307.50610479301	99.0904400845722	400.164148127956	0	307.093563762077	0	0.412541030932804	0	99.0904400845722	0	400.164148127956
