Species	Global_Prevalence	Prevalence_URT	Prevalence_IRT	Prevalence_LRT	Prevalence_Nasal_Swab	Prevalence_Buccal_mucosa	Prevalence_Oral_swab	Prevalence_Saliva	Prevalence_Tongue_dorsum	Prevalence_Supraglottal	Prevalence_Sputum	Prevalence_BAL
s__Prevotella_melaninogenica	72.947	86.2576687116564	79.8611111111111	27.3504273504273	7.40740740740741	83.8364167478092	97.5609756097561	96.1904761904762	99.0430622009569	45.7627118644068	45.8762886597938	27.3504273504273
s__Rothia_mucilaginosa	77.308	94.7852760736196	82.9166666666667	21.7094017094017	7.40740740740741	96.5920155793574	100	96.8253968253968	99.2822966507177	20.3389830508475	64.9484536082474	21.7094017094017
s__Streptococcus_parasanguinis	68.313	79.8159509202454	81.8055555555556	19.6581196581197	11.1111111111111	78.0915287244401	98.780487804878	80.3174603174603	98.0861244019139	28.8135593220339	61.340206185567	19.6581196581197
s__Cutibacterium_acnes	22.419	29.5705521472393	8.47222222222222	19.6581196581197	3.7037037037037	40.603700097371	0.40650406504065	20	10.5263157894737	13.5593220338983	2.57731958762887	19.6581196581197
s__Streptococcus_mitis	76.661	96.0736196319018	80.2777777777778	18.1196581196581	3.7037037037037	98.6368062317429	99.5934959349593	97.4603174603175	99.5215311004785	28.8135593220339	51.5463917525773	18.1196581196581
s__Prevotella_pallens	55.571	62.760736196319	69.8611111111111	17.9487179487179	7.40740740740741	52.4829600778968	89.0243902439024	83.4920634920635	94.7368421052632	25.4237288135593	26.2886597938144	17.9487179487179
s__Prevotella_jejuni	47.53	52.0858895705521	61.8055555555556	17.2649572649573	3.7037037037037	43.9143135345667	80.0813008130081	63.4920634920635	83.0143540669856	20.3389830508475	28.3505154639175	17.2649572649573
s__Staphylococcus_epidermidis	11.687	11.0429447852761	8.75	17.0940170940171	29.6296296296296	9.54235637779942	21.1382113821138	6.98412698412698	0.956937799043062	93.2203389830509	1.54639175257732	17.0940170940171
s__Veillonella_atypica	64.259	77.3006134969325	74.4444444444444	15.3846153846154	7.40740740740741	74.3914313534567	95.1219512195122	82.5396825396825	95.2153110047847	28.8135593220339	39.1752577319588	15.3846153846154
s__GGB1144_SGB1468	55.094	64.3558282208589	66.5277777777778	15.2136752136752	3.7037037037037	59.9805258033106	78.4552845528455	75.8730158730159	92.822966507177	25.4237288135593	23.1958762886598	15.2136752136752
s__Neisseria_subflava	65.179	80.7361963190184	70.6944444444444	15.042735042735	7.40740740740741	77.9941577409932	85.3658536585366	96.1904761904762	98.5645933014354	3.38983050847458	26.8041237113402	15.042735042735
s__Porphyromonas_pasteri	65.758	80.9815950920245	72.5	15.042735042735	0	77.8967867575463	90.2439024390244	94.6031746031746	95.4545454545455	22.0338983050847	36.0824742268041	15.042735042735
s__Prevotella_histicola	54.651	64.8466257668712	64.3055555555556	14.3589743589744	7.40740740740741	59.4936708860759	95.5284552845528	66.3492063492064	85.1674641148325	23.728813559322	29.8969072164948	14.3589743589744
s__Prevotella_salivae	56.388	64.7239263803681	71.8055555555556	14.1880341880342	3.7037037037037	55.9883154819864	91.869918699187	80.3174603174603	94.4976076555024	45.7627118644068	31.4432989690722	14.1880341880342
s__Lancefieldella_parvula	59.148	67.1779141104294	77.5	14.1880341880342	7.40740740740741	59.396299902629	97.1544715447154	77.4603174603175	98.8038277511962	52.5423728813559	40.2061855670103	14.1880341880342
s__Streptococcus_salivarius	68.825	85.2147239263804	76.25	14.017094017094	14.8148148148148	85.9785783836417	99.5934959349593	81.5873015873016	98.8038277511962	6.77966101694915	44.8453608247423	14.017094017094
s__Veillonella_dispar	65.52	80.3680981595092	73.8888888888889	13.8461538461538	11.1111111111111	80.2336903602726	98.780487804878	76.1904761904762	95.4545454545455	27.1186440677966	38.659793814433	13.8461538461538
s__Streptococcus_pneumoniae	26.508	41.3496932515337	3.47222222222222	13.5042735042735	25.9259259259259	40.5063291139241	60.9756097560976	31.1111111111111	1.43540669856459	3.38983050847458	4.63917525773196	13.5042735042735
s__Actinomyces_graevenitzii	51.755	57.361963190184	71.25	12.1367521367521	3.7037037037037	50.4381694255112	80.0813008130081	69.5238095238095	97.8468899521531	13.5593220338983	26.8041237113402	12.1367521367521
s__Megasphaera_micronuciformis	47.257	51.1656441717791	67.3611111111111	11.6239316239316	0	42.7458617332035	74.390243902439	67.3015873015873	92.822966507177	40.6779661016949	20.6185567010309	11.6239316239316
s__Veillonella_parvula	66.542	81.4723926380368	77.7777777777778	11.1111111111111	7.40740740740741	83.3495618305745	68.6991869918699	95.5555555555556	96.1722488038278	64.406779661017	49.4845360824742	11.1111111111111
s__Prevotella_oris	43.543	55.8282208588957	42.5	10.5982905982906	0	52.8724440116845	34.1463414634146	89.8412698412698	47.1291866028708	61.0169491525424	25.7731958762887	10.5982905982906
s__Mycoplasma_salivarium	15.366	17.4846625766871	14.4444444444444	10.5982905982906	0	17.429406037001	5.69105691056911	29.2063492063492	5.98086124401914	83.0508474576271	11.340206185567	10.5982905982906
s__Streptococcus_infantis	67.428	83.4355828220859	77.3611111111111	10.5982905982906	3.7037037037037	81.0126582278481	96.3414634146341	92.0634920634921	99.5215311004785	18.6440677966102	46.3917525773196	10.5982905982906
s__Prevotella_vespertina	40.716	48.7116564417178	47.5	10.0854700854701	0	37.2930866601753	84.1463414634146	64.7619047619048	67.9425837320574	18.6440677966102	13.4020618556701	10.0854700854701
s__Granulicatella_SGB8255	69.744	86.319018404908	80.8333333333333	9.91452991452991	11.1111111111111	84.3232716650438	98.780487804878	93.6507936507936	99.5215311004785	28.8135593220339	55.1546391752577	9.91452991452991
s__Alloprevotella_tannerae	27.087	35.1533742331288	23.0555555555556	9.57264957264957	0	31.2560856864654	8.94308943089431	73.015873015873	27.7511961722488	30.5084745762712	9.27835051546392	9.57264957264957
s__Ralstonia_pickettii	2.487	0.0613496932515337	2.22222222222222	9.57264957264957	0	0	0.40650406504065	0	2.39234449760766	0	2.57731958762887	9.57264957264957
s__GGB43920_SGB61282	1.874	0	0	9.4017094017094	0	0	0	0	0	0	0	9.4017094017094
s__Fusobacterium_nucleatum	65.043	80.3680981595092	75.8333333333333	9.05982905982906	0	81.3047711781889	70.7317073170732	95.5555555555556	99.0430622009569	32.2033898305085	37.6288659793814	9.05982905982906
s__Pseudomonas_aeruginosa	7.087	2.02453987730061	16.9444444444444	9.05982905982906	0	2.92112950340798	0	0.952380952380952	0	1.69491525423729	62.3711340206186	9.05982905982906
s__Mogibacterium_diversum	45.656	49.079754601227	67.7777777777778	8.88888888888889	0	38.4615384615385	82.1138211382114	64.4444444444444	96.4114832535885	16.9491525423729	20.1030927835052	8.88888888888889
s__Porphyromonas_endodontalis	26.78	32.9447852760736	27.6388888888889	8.54700854700855	0	26.1927945472249	22.3577235772358	67.6190476190476	34.688995215311	27.1186440677966	10.8247422680412	8.54700854700855
s__Gemella_sanguinis	57.819	68.4049079754601	74.3055555555556	8.03418803418803	0	63.2911392405063	79.6747967479675	85.3968253968254	98.8038277511962	6.77966101694915	41.2371134020619	8.03418803418803
s__Prevotella_nanceiensis	57.581	69.9386503067485	69.8611111111111	8.03418803418803	0	65.6280428432327	76.0162601626016	88.5714285714286	96.6507177033493	27.1186440677966	26.2886597938144	8.03418803418803
s__Alloprevotella_SGB1483	30.051	33.1901840490798	40.9722222222222	7.86324786324786	0	21.0321324245375	54.4715447154472	60.6349206349206	60.7655502392345	27.1186440677966	4.63917525773196	7.86324786324786
s__Alloprevotella_SGB1484	30.698	34.2944785276074	41.25	7.69230769230769	0	22.4926971762415	56.5040650406504	60	61.244019138756	27.1186440677966	4.63917525773196	7.69230769230769
s__Actinomyces_sp_ICM47	48.79	56.1349693251534	65.5555555555556	7.69230769230769	0	47.6144109055501	72.7642276422764	78.4126984126984	95.2153110047847	0	14.9484536082474	7.69230769230769
s__Selenomonas_SGB5880	38.262	39.6932515337423	60	7.52136752136752	0	25.7059396299903	77.2357723577236	61.2698412698413	91.3875598086124	1.69491525423729	8.24742268041237	7.52136752136752
s__Neisseria_meningitidis	3.68	3.31288343558282	1.38888888888889	7.52136752136752	0	3.40798442064265	6.09756097560976	1.26984126984127	0.717703349282297	0	0	7.52136752136752
s__Solobacterium_SGB6829	42.487	43.558282208589	68.75	7.17948717948718	3.7037037037037	31.4508276533593	80.0813008130081	60	96.6507177033493	16.9491525423729	23.7113402061856	7.17948717948718
s__Fusobacterium_pseudoperiodonticum	56.797	70	67.2222222222222	7.17948717948718	0	66.4070107108082	73.1707317073171	88.5714285714286	98.5645933014354	0	15.4639175257732	7.17948717948718
s__Actinomyces_SGB17168	33.458	32.2085889570552	57.7777777777778	7.00854700854701	3.7037037037037	25.0243427458617	45.9349593495935	48.8888888888889	86.1244019138756	3.38983050847458	11.340206185567	7.00854700854701
s__Staphylococcus_aureus	8.893	8.83435582822086	10.6944444444444	6.83760683760684	22.2222222222222	3.31061343719572	37.8048780487805	3.17460317460317	0.956937799043062	16.9491525423729	31.9587628865979	6.83760683760684
s__Eubacterium_sulci	39.523	41.1042944785276	62.5	6.83760683760684	0	26.095423563778	76.0162601626016	68.2539682539683	91.866028708134	6.77966101694915	16.4948453608247	6.83760683760684
