# Constructed from biom file
# OTU ID	ERR6560072_GTDB_207_0.1_conf_	ERR6717872_GTDB_207_0.1_conf_	ERR6717881_GTDB_207_0.1_conf_	ERR6560070_GTDB_207_0.1_conf_	ERR6717892_GTDB_207_0.1_conf_	ERR6560079_GTDB_207_0.1_conf_	ERR6560081_GTDB_207_0.1_conf_	ERR6560091_GTDB_207_0.1_conf_	ERR6717880_GTDB_207_0.1_conf_	ERR6717894_GTDB_207_0.1_conf_	ERR6717873_GTDB_207_0.1_conf_	ERR6560074_GTDB_207_0.1_conf_	ERR6560071_GTDB_207_0.1_conf_	ERR6717883_GTDB_207_0.1_conf_	ERR6717891_GTDB_207_0.1_conf_	ERR6717889_GTDB_207_0.1_conf_	ERR6560078_GTDB_207_0.1_conf_	ERR6560075_GTDB_207_0.1_conf_	ERR6717886_GTDB_207_0.1_conf_	ERR6717875_GTDB_207_0.1_conf_	ERR6717877_GTDB_207_0.1_conf_	ERR6560093_GTDB_207_0.1_conf_	ERR3956069_GTDB_207_0.1_conf_	ERR6560088_GTDB_207_0.1_conf_	ERR6717885_GTDB_207_0.1_conf_	ERR6560082_GTDB_207_0.1_conf_	ERR6717893_GTDB_207_0.1_conf_	ERR6717884_GTDB_207_0.1_conf_	ERR6560092_GTDB_207_0.1_conf_	ERR6560090_GTDB_207_0.1_conf_	ERR6560073_GTDB_207_0.1_conf_	ERR6717890_GTDB_207_0.1_conf_	ERR6717878_GTDB_207_0.1_conf_	ERR6717874_GTDB_207_0.1_conf_	ERR6717888_GTDB_207_0.1_conf_	ERR6717895_GTDB_207_0.1_conf_	ERR6717876_GTDB_207_0.1_conf_	ERR6560087_GTDB_207_0.1_conf_
Novosphingobium_pokkalii	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523	432	0	0	0	0	0	0	0	0	427	1131	0	0	0	2138	0	0	0	0	0	0
Allobacillus_halotolerans	0	188	143	0	707	0	0	0	289	180	158	0	0	209	100	266	0	0	308828	1591	213	0	115	0	100	0	4053	176	0	0	0	184	271	126	144	186	230	0
Microbacterium_sp001866135	0	18	0	1	1	0	188	0	1	0	3	0	0	1	0	1	161	25	0	221	66	0	0	186	1	1	6	0	0	0	0	1	0	64	1	1	1	1
Streptomyces_calvus	0	0	0	0	0	5	81	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
CAG-485_sp900767075	0	0	0	0	0	0	0	344	0	554	0	0	0	0	0	824	0	0	0	0	0	0	0	0	0	0	40	0	510	0	0	0	0	0	0	0	0	121
Nocardioides_terrigena	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA8801_sp003505795	0	0	0	0	0	0	0	0	0	4977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colwellia_marinimaniae	0	0	0	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0
Tropicimonas_sabulilitoris	0	0	0	0	0	0	0	0	0	0	0	0	1513	0	0	0	0	0	0	0	0	810	0	0	0	0	0	0	1255	8610	0	0	0	0	0	0	0	3093
Methylocella_tundrae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruthenibacterium_merdipullorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2354	0	0	0	0	0	0	0	0	0	0	2869	0	0	0	0	0	0	0
Caproicibacter_sp900184925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces_sp000470535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pseudovibrio_sp900143565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Trinickia_diaoshuihuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
