RT_category	SampleTypev2	KEGG_category_name	KEGG_subcategory_name	KEGG_pathway_name	KO	description	gene_mean	nSampleTypes
Lower RT	BAL	Metabolism	Amino acid metabolism	Tyrosine metabolism	K00001	alcohol dehydrogenase	4.014206e-5	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00001	alcohol dehydrogenase	4.014206e-5	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K00001	alcohol dehydrogenase	4.014206e-5	50
Lower RT	BAL	Metabolism	Lipid metabolism	Fatty acid degradation	K00001	alcohol dehydrogenase	4.014206e-5	50
Lower RT	BAL	Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism	K00001	alcohol dehydrogenase	4.014206e-5	50
Lower RT	BAL	Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation	K00001	alcohol dehydrogenase	4.014206e-5	50
Lower RT	BAL	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - cytochrome P450	K00001	alcohol dehydrogenase	4.014206e-5	50
Lower RT	BAL	Metabolism	Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450	K00001	alcohol dehydrogenase	4.014206e-5	50
Lower RT	BAL	Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene degradation	K00001	alcohol dehydrogenase	4.014206e-5	50
Lower RT	BAL	Human Diseases	Cancer: overview	Chemical carcinogenesis - reactive oxygen species	K00002	alcohol dehydrogenase (NADP+)	1.208884e-8	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism	K00002	alcohol dehydrogenase (NADP+)	1.208884e-8	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00002	alcohol dehydrogenase (NADP+)	1.208884e-8	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	K00002	alcohol dehydrogenase (NADP+)	1.208884e-8	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K00002	alcohol dehydrogenase (NADP+)	1.208884e-8	50
Lower RT	BAL	Metabolism	Lipid metabolism	Glycerolipid metabolism	K00002	alcohol dehydrogenase (NADP+)	1.208884e-8	50
Lower RT	BAL	Metabolism	Xenobiotics biodegradation and metabolism	Caprolactam degradation	K00002	alcohol dehydrogenase (NADP+)	1.208884e-8	50
Lower RT	BAL	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism	K00003	homoserine dehydrogenase	7.395828e-5	50
Lower RT	BAL	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism	K00003	homoserine dehydrogenase	7.395828e-5	50
Lower RT	BAL	Metabolism	Amino acid metabolism	Lysine biosynthesis	K00003	homoserine dehydrogenase	7.395828e-5	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Butanoate metabolism	K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	3.6032546e-5	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K00005	glycerol dehydrogenase	1.22425452e-4	50
Lower RT	BAL	Metabolism	Lipid metabolism	Glycerolipid metabolism	K00005	glycerol dehydrogenase	1.22425452e-4	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	K00007	D-arabinitol 4-dehydrogenase	7.96404e-8	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	K00007	D-arabinitol 4-dehydrogenase	7.96404e-8	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	K00008	L-iditol 2-dehydrogenase	5.349924e-6	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	K00008	L-iditol 2-dehydrogenase	5.349924e-6	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	K00009	mannitol-1-phosphate 5-dehydrogenase	1.202281e-6	50
Lower RT	BAL	Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis	K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	8.013574200000001e-5	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism	K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	8.013574200000001e-5	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	K00011	aldehyde reductase	0	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Galactose metabolism	K00011	aldehyde reductase	0	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	K00011	aldehyde reductase	0	50
Lower RT	BAL	Metabolism	Lipid metabolism	Glycerolipid metabolism	K00011	aldehyde reductase	0	50
Lower RT	BAL	Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis	K00011	aldehyde reductase	0	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism	K00012	UDPglucose 6-dehydrogenase	6.314025e-4	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	K00012	UDPglucose 6-dehydrogenase	6.314025e-4	50
Lower RT	BAL	Metabolism	Glycan biosynthesis and metabolism	Amino sugar and nucleotide sugar metabolism	K00012	UDPglucose 6-dehydrogenase	6.314025e-4	50
Lower RT	BAL	Metabolism	Glycan biosynthesis and metabolism	Biosynthesis of various nucleotide sugars	K00012	UDPglucose 6-dehydrogenase	6.314025e-4	50
Lower RT	BAL	Metabolism	Amino acid metabolism	Histidine metabolism	K00013	histidinol dehydrogenase	4.89995e-5	50
Lower RT	BAL	Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	K00014	shikimate dehydrogenase	0.00132587288	50
Lower RT	BAL	Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various plant secondary metabolites	K00014	shikimate dehydrogenase	0.00132587288	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	K00015	glyoxylate reductase	8.6608124e-5	50
Lower RT	BAL	Environmental Information Processing	Signal transduction	HIF-1 signaling pathway	K00016	L-lactate dehydrogenase	1.4750732e-4	50
Lower RT	BAL	Human Diseases	Cancer: overview	Central carbon metabolism in cancer	K00016	L-lactate dehydrogenase	1.4750732e-4	50
Lower RT	BAL	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism	K00016	L-lactate dehydrogenase	1.4750732e-4	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00016	L-lactate dehydrogenase	1.4750732e-4	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K00016	L-lactate dehydrogenase	1.4750732e-4	50
Lower RT	BAL	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K00016	L-lactate dehydrogenase	1.4750732e-4	50
