SampleID	Env	SourceSink	id
SRR12397840	BAL	Sink	1
SRR12397841	BAL	Sink	2
SRR12397843	BAL	Sink	3
SRR12397846	BAL	Sink	4
SRR12397847	BAL	Sink	5
SRR15667042	BAL	Sink	6
SRR15667046	BAL	Sink	7
SRR15667048	BAL	Sink	8
SRR15667053	BAL	Sink	9
SRR15667059	BAL	Sink	10
SRR15667063	BAL	Sink	11
SRR15667064	BAL	Sink	12
SRR15667068	BAL	Sink	13
SRR15667070	BAL	Sink	14
SRR15667137	BAL	Sink	15
SRR15667143	BAL	Sink	16
SRR15667144	BAL	Sink	17
SRR15667149	BAL	Sink	18
SRR15667150	BAL	Sink	19
103092734_Buccal_mucosa	Buccal mucosa	Source	1
103092734_Buccal_mucosa	Buccal mucosa	Source	2
103092734_Buccal_mucosa	Buccal mucosa	Source	3
103092734_Buccal_mucosa	Buccal mucosa	Source	4
103092734_Buccal_mucosa	Buccal mucosa	Source	5
103092734_Buccal_mucosa	Buccal mucosa	Source	6
103092734_Buccal_mucosa	Buccal mucosa	Source	7
103092734_Buccal_mucosa	Buccal mucosa	Source	8
103092734_Buccal_mucosa	Buccal mucosa	Source	9
103092734_Buccal_mucosa	Buccal mucosa	Source	10
103092734_Buccal_mucosa	Buccal mucosa	Source	11
103092734_Buccal_mucosa	Buccal mucosa	Source	12
103092734_Buccal_mucosa	Buccal mucosa	Source	13
103092734_Buccal_mucosa	Buccal mucosa	Source	14
103092734_Buccal_mucosa	Buccal mucosa	Source	15
103092734_Buccal_mucosa	Buccal mucosa	Source	16
103092734_Buccal_mucosa	Buccal mucosa	Source	17
103092734_Buccal_mucosa	Buccal mucosa	Source	18
103092734_Buccal_mucosa	Buccal mucosa	Source	19
115629832_Buccal_mucosa	Buccal mucosa	Source	1
115629832_Buccal_mucosa	Buccal mucosa	Source	2
115629832_Buccal_mucosa	Buccal mucosa	Source	3
115629832_Buccal_mucosa	Buccal mucosa	Source	4
115629832_Buccal_mucosa	Buccal mucosa	Source	5
115629832_Buccal_mucosa	Buccal mucosa	Source	6
115629832_Buccal_mucosa	Buccal mucosa	Source	7
115629832_Buccal_mucosa	Buccal mucosa	Source	8
115629832_Buccal_mucosa	Buccal mucosa	Source	9
